D,isin,name,cohort,type,dd_from_issue,strength_pctile,fwd_alpha_term,outcome_class
126,INE945H01021,Vishal Retail Ltd.,longterm,MB,-0.617,0.495,19.559,multibagger
126,INE061F01013,Fortis Healthcare Ltd.,longterm,MB,-0.337,0.195,9.492,multibagger
126,INE702H01018,Jagjanani Textiles Ltd.,longterm,MB,-0.989,0.131,15.538,loser
126,INE545H01011,Technocraft Industries (India) Ltd.,longterm,MB,-0.322,0.152,29.827,multibagger
126,INE144J01027,20 Microns Ltd.,longterm,MB,-0.238,0.429,2.347,multibagger
126,INE753K01015,Emmbi Polyarns Ltd.,longterm,MB,-0.599,0.185,0.398,winner
126,INE590L01019,Vaswani Industries Ltd.,longterm,MB,-0.788,0.07,2.867,winner
126,INE316L01019,Bharat Wire Ropes Ltd.,longterm,MB,-0.089,0.31,2.42,multibagger
126,INE298J01013,Reliance Nippon Life Asset Management Ltd.,longterm,MB,-0.028,0.432,2.346,multibagger
126,INE763G01038,ICICI Securities Ltd.,longterm,MB,-0.489,0.356,1.108,winner
126,INE926X01010,H.G.Infra Engineering Ltd.,longterm,MB,-0.09,0.453,0.175,multibagger
126,INE679A01013,CSB Bank Ltd.,longterm,MB,-0.323,0.395,0.415,winner
126,INE484S01010,Pecos Hotels & Pubs Ltd.,longterm,SME,-0.49,0.319,7.3,multibagger
126,INE985P01012,Gretex Industries Ltd.,longterm,SME,-0.375,0.482,17.915,multibagger
126,INE120V01014,Titaanium Ten Enterprise Ltd.,longterm,SME,-0.485,0.34,1.102,winner
126,INE977Y01011,Brand Concepts Ltd.,longterm,SME,-0.278,0.35,3.602,multibagger
126,INE333Y01017,MRC Exim Ltd.,longterm,SME,-0.836,0.219,11.851,multibagger
126,INE901X01013,Felix Industries Ltd.,longterm,SME,-0.529,0.088,8.845,multibagger
126,INE376Y01016,Milton Industries Ltd.,longterm,SME,-0.55,0.264,0.91,winner
126,INE104Y01012,Manav infra projects Ltd.,longterm,SME,-0.717,0.353,2.699,winner
126,INE145Y01023,Shish Industries Ltd.,longterm,SME,-0.74,0.158,0.603,loser
126,INE594W01042,Pure Giftcarat Ltd.,longterm,SME,-0.578,0.149,0.99,flat
126,INE439T01012,Nitiraj Engineers Ltd.,longterm,SME,-0.172,0.24,0.484,multibagger
126,INE548Z01017,Lagnam Spintex Ltd.,longterm,SME,-0.613,0.28,2.957,winner
126,INE650Z01011,Powerful Technologies Ltd.,longterm,SME,-0.843,0.094,0.019,loser
126,INE424Z01011,Milestone Furniture Ltd.,longterm,SME,-0.833,0.018,1.07,loser
126,INE728Z01015,SoftTech Engineers Ltd.,longterm,SME,-0.426,0.345,7.591,multibagger
126,INE557Z01018,Power & Instrumentation (Gujarat) Ltd.,longterm,SME,-0.661,0.277,7.119,multibagger
126,INE301Z01011,Soni Soya Products Ltd.,longterm,SME,-0.444,0.374,0.099,loser
126,INE459Z01017,Taylormade Renewables Ltd.,longterm,SME,-0.769,0.368,9.622,multibagger
126,INE380Z01015,Active Clothing Co.Ltd.,longterm,SME,-0.569,0.173,2.889,multibagger
126,INE575Z01010,Marvel Decor Ltd.,longterm,SME,-0.579,0.106,0.795,flat
126,INE760Y01011,Ashoka Metcast Ltd.,longterm,SME,-0.746,0.331,0.814,loser
126,INE880Y01017,Solex Energy Ltd.,longterm,SME,-0.339,0.207,38.272,multibagger
126,INE08RT01016,Valencia Nutrition Ltd.,longterm,SME,-0.543,0.438,1.704,winner
126,INE490Z01012,Anuroop Packaging Ltd.,longterm,SME,-0.338,0.248,0.073,flat
126,INE08JY01013,Novateor Research Laboratories Ltd.,longterm,SME,-0.833,0.182,6.225,winner
126,INE00CX01017,Mahip Industries Ltd.,longterm,SME,-0.843,0.046,2.237,loser
126,INE911T01010,Kranti Industries Ltd.,longterm,SME,-0.507,0.138,0.913,winner
126,INE01ZJ01015,Surani Steel Tubes Ltd.,longterm,SME,-0.635,0.079,5.257,multibagger
