isin,company_name,type,year,missing
INE619A01035,Ruchi Soya Industries Ltd. FPO,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE825V01034,Vedant Fashions Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE699H01024,Adani Wilmar Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE583L01014,AGS Transact Technologies Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0D5F01013,Net Pix Shorts Digital Media Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0BLY01023,Shine Fashions (India) Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0EEJ01023,Bodhi Tree Multimedia Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE244W01010,Veer Global Infraconstruction Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0ALR01029,Atal Realtech Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0E2801015,GM Polyplast Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0D0U01013,AAA Technologies Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0A0S01028,Sigma Solve Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE09KD01013,Atam Valves Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0BTM01013,SecMark Consultancy Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0ALI01010,Advait Infratech Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DG401010,Trekkingtoes.com Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE05ST01028,Suratwwala Business Group Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0B9A01018,Bonlon Industries Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0D6I01023,Ksolves India Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CRS01012,Billwin Industries Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CPQ01010,Nirmitee Robotics India Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0B1K01014,DJ Mediaprint & Logistics Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE258Y01016,Laxmi Goldorna House Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CQB01010,Cospower Engineering Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0BDU01028,RO Jewels Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0C4I01011,SM Auto Stamping Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
