isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,cohort,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,sub_total_x_src,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_fin_year,pre_ipo_years_available,pat_yr3_src,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src
INE393P01035,Prataap Snacks Ltd.,MB,DIAMONDYD,540724.0,2017-09-22,2017-09-26,2017-10-05,938.0,481.6,Bookbuilding,"BSE, NSE",Edelweiss Financial,2017,2006-2019,76.89,101.15,8.48,47.39,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,chittorgarh,282.0,chittorgarh,58.5,chittorgarh,143.4,chittorgarh,1250.0,chittorgarh,1317.05,chittorgarh,1137.0,chittorgarh,1178.3,chittorgarh,"Repayment/pre-payment, in full or part, of certain borrowings availed by the Company | Funding capital expenditure requirements in relation to expansion (including through setting up of a new production line and construction of a building) and modernisation at certain of the existing manufacturing facilities | Investment in the Subsidiary, Pure N Sure, for repayment/pre-payment of certain borrowings availed by the Subsidiary | Marketing and brand building activities | General corporate purposes | Total",chittorgarh,482.0,chittorgarh
INE123W01016,SBI Life Insurance Co.Ltd.,MB,SBILIFE,540719.0,2017-09-20,2017-09-22,2017-10-03,700.0,8388.73,Bookbuilding,"BSE, NSE",Axis Capital,2017,2006-2019,12.56,0.7,0.85,3.58,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8389.0,chittorgarh,100.0,chittorgarh,2226.0,chittorgarh,733.3,chittorgarh,738.0,chittorgarh,702.25,chittorgarh,708.0,chittorgarh,,,8389.0,chittorgarh
INE765G01017,ICICI Lombard General Insurance Co.Ltd.,MB,ICICIGI,540716.0,2017-09-15,2017-09-19,2017-09-27,661.0,5700.94,Bookbuilding,"BSE, NSE",CLSA,2017,2006-2019,8.17,0.83,1.23,2.98,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5701.0,chittorgarh,100.0,chittorgarh,1624.77,chittorgarh,650.0,chittorgarh,694.0,chittorgarh,638.15,chittorgarh,681.55,chittorgarh,,,5701.0,chittorgarh
INE264T01014,Capacit'e Infraprojects Ltd.,MB,CAPACITE,540710.0,2017-09-13,2017-09-15,2017-09-25,250.0,400.0,Bookbuilding,"BSE, NSE",Axis Capital,2017,2006-2019,131.32,638.05,17.57,183.03,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,120.0,chittorgarh,399.0,chittorgarh,399.0,chittorgarh,335.65,chittorgarh,342.4,chittorgarh,Funding working capital requirements | Funding purchase of capital assets (system formwork) | General corporate purposes,chittorgarh,400.0,chittorgarh
INE866R01028,Matrimony.com Ltd.,MB,MATRIMONY,540704.0,2017-09-11,2017-09-13,2017-09-21,985.0,496.88,Bookbuilding,"BSE, NSE",Axis Capital,2017,2006-2019,1.88,0.41,18.16,4.44,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,chittorgarh,367.0,chittorgarh,73.8,chittorgarh,225.89,chittorgarh,985.0,chittorgarh,1025.0,chittorgarh,893.2,chittorgarh,901.2,chittorgarh,Advertising and business promotion activities | Purchase of land for construction of office premises in Chennai | Repayment of the overdraft facilities | General corporate purposes,chittorgarh,497.0,chittorgarh
INE727S01012,Bharat Road Network Ltd.,MB,BRNL,540700.0,2017-09-06,2017-09-08,2017-09-18,205.0,600.65,Bookbuilding,"BSE, NSE",Investec Capital,2017,2006-2019,1.33,1.63,5.69,1.81,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,204.9,chittorgarh,218.65,chittorgarh,196.5,chittorgarh,208.15,chittorgarh,"STPL Sponsor Investment | Acquisition of the subordinated debt in the form of unsecured loans/ OCPIDs/ warrants/ OCDs, advanced/held by SREI to/in the Identified SPVs | General corporate purposes",chittorgarh,601.0,chittorgarh
INE935N01020,Dixon Technologies (India) Ltd.,MB,DIXON,540699.0,2017-09-06,2017-09-08,2017-09-18,1766.0,599.28,Bookbuilding,"BSE, NSE",IDFC Bank,2017,2006-2019,134.66,345.61,10.6,117.83,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,chittorgarh,539.0,chittorgarh,90.0,chittorgarh,179.78,chittorgarh,2725.0,chittorgarh,3020.25,chittorgarh,2725.0,chittorgarh,2892.8,chittorgarh,"Repayment/pre-payment, in full or in part, of certain borrowings availed by the Company | Setting up a unit for manufacturing of LED TVs at the Tirupati Facility | Finance the enhancement of the backward integration capabilities in the lighting products vertical at the Dehradun I Facility | Upgradation of the information technology infrastructure of the Company | General corporate purposes",chittorgarh,599.0,chittorgarh
INE346W01013,Apex Frozen Foods Ltd.,MB,APEX,540692.0,2017-08-22,2017-08-24,2017-09-04,175.0,152.25,Bookbuilding,"BSE, NSE",Karvy Investor Services,2017,2006-2019,1.91,7.82,8.53,6.14,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,chittorgarh,25.0,chittorgarh,16.4,chittorgarh,43.58,chittorgarh,199.9,chittorgarh,209.85,chittorgarh,195.0,chittorgarh,209.85,chittorgarh,"Setting up a new Shrimp processing unit with a proposed capacity of 20,000 MTPA at East Godavari District, Andhra Pradesh; | General corporate purposes",chittorgarh,152.0,chittorgarh
INE704P01025,Cochin Shipyard Ltd.,MB,COCHINSHIP,540678.0,2017-08-01,2017-08-03,2017-08-11,432.0,1442.93,Bookbuilding,"BSE, NSE",Edelweiss Financial,2017,2006-2019,63.52,288.87,8.51,76.19,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,chittorgarh,481.0,chittorgarh,33.3,chittorgarh,,,435.0,chittorgarh,522.0,chittorgarh,435.0,chittorgarh,522.0,chittorgarh,Setting up of Dry Dock | Setting up of ISRF | General corporate purposes,chittorgarh,1443.0,chittorgarh
INE285J01028,Security & Intelligence Services (India) Ltd.,MB,SIS,540673.0,2017-07-31,2017-08-02,2017-08-10,815.0,779.58,Bookbuilding,"BSE, NSE",Axis Capital,2017,2006-2019,5.64,1.66,19.51,7.07,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0,chittorgarh,417.0,chittorgarh,53.5,chittorgarh,350.81,chittorgarh,875.0,chittorgarh,878.0,chittorgarh,749.0,chittorgarh,756.7,chittorgarh,Repayment and pre-payment of a portion of certain outstanding indebtedness availed by the Company | Funding working capital requirements of the Company | General corporate purposes,chittorgarh,780.0,chittorgarh
