isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,cohort,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_fin_year,pre_ipo_years_available,pat_yr3_src,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src
INE876S01017,Loyal Equipments Ltd.,SME,,539227,2015-07-03,2015-07-07,2015-07-16,18.00,3.24,Fixed Price,BSE SME,Hem Securities,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Securities Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,20.05,chittorgarh,21.05,chittorgarh,20.05,chittorgarh,21.05,chittorgarh,To Meet Working Capital Requirement | Public Issue Expenses,chittorgarh,3,chittorgarh
INE480S01026,Gala Print City Ltd.,SME,,539228,2015-06-30,2015-07-06,2015-07-16,24.00,3.04,Fixed Price,BSE SME,Oneview Corporate,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,24.45,chittorgarh,24.45,chittorgarh,23.25,chittorgarh,24.10,chittorgarh,To part-finance incremental working capital requirements | General corporate expenses | To meet the expenses of the Issue,chittorgarh,3,chittorgarh
INE196R01012,Majestic Research Services & Solutions Ltd.,SME,,539229,2015-06-30,2015-07-02,2015-07-16,12.75,1.43,Fixed Price,BSE SME,Pantomath Capital,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,1,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,14.00,chittorgarh,14.70,chittorgarh,14.00,chittorgarh,14.70,chittorgarh,Procurement of new technology | Working capital requirement | Issue expenses,chittorgarh,1,chittorgarh
INE027T01023,M.D.Inducto Cast Ltd.,SME,RUDRA,539226,2015-06-30,2015-07-02,2015-07-16,27.00,17.24,Fixed Price,BSE SME,Pantomath Capital,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCB Brokerage Pvt.Ltd.,chittorgarh,16,chittorgarh,1.00,chittorgarh,5.9,chittorgarh,,,28.10,chittorgarh,29.50,chittorgarh,27.85,chittorgarh,29.50,chittorgarh,Working Capital Requirement | Issue Expenses,chittorgarh,17,chittorgarh
INE023S01016,Jiya Eco-Products Ltd.,SME,JIYAECO,539225,2015-06-29,2015-07-02,2015-07-16,19.00,4.58,Fixed Price,BSE SME,Pantomath Capital,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCB Brokerage Pvt.Ltd.,chittorgarh,4,chittorgarh,1.00,chittorgarh,20.0,chittorgarh,,,21.75,chittorgarh,22.00,chittorgarh,21.00,chittorgarh,21.00,chittorgarh,Procurement of new machinery | Working capital requirement | Issue expenses,chittorgarh,5,chittorgarh
INE451S01027,VMV Holidays Ltd.,SME,,539222,2015-06-29,2015-07-01,2015-07-14,10.00,1.56,Fixed Price,BSE SME,Oneview Corporate,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,1,chittorgarh,1.00,chittorgarh,50.0,chittorgarh,,,10.25,chittorgarh,10.50,chittorgarh,10.25,chittorgarh,10.50,chittorgarh,Brand Building Exercise | Expansion of Online Services | Setting up office at Mumbai | General Corporate Expenses | Issue Expenses,chittorgarh,2,chittorgarh
INE540S01019,Mishka Exim Ltd.,SME,,539220,2015-06-26,2015-06-30,2015-07-13,10.00,5.45,Fixed Price,BSE SME,First Overseas,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo Jatalia Securities Pvt.Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,14.00,chittorgarh,14.70,chittorgarh,13.50,chittorgarh,13.50,chittorgarh,"To part-finance incremental working capital requirements | To part-finance commercial unit siuated in Shahdara, Delhi | General Corporate purposes | Issue Expense",chittorgarh,5,chittorgarh
INE653S01028,Junction Fabrics & Apparels Ltd.,SME,,539216,2015-06-25,2015-06-29,2015-07-10,16.00,1.60,Fixed Price,BSE SME,Hem Securities,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Securities Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,17.50,chittorgarh,18.35,chittorgarh,17.05,chittorgarh,17.30,chittorgarh,To Meet Working Capital Requirement | Public Issue Expenses,chittorgarh,2,chittorgarh
INE563S01011,Ambition Mica Ltd.,SME,,539223,2015-06-23,2015-06-30,2015-07-14,40.00,4.30,Fixed Price,BSE SME,Pantomath Capital,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCB Brokerage Pvt.Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,45.00,chittorgarh,47.00,chittorgarh,45.00,chittorgarh,45.15,chittorgarh,Working Capital Requirement | General Corporate Purpose | Issue Expenses,chittorgarh,4,chittorgarh
INE105R01013,Funny Software Ltd.,SME,,539169,2015-05-14,2015-05-20,2015-06-02,14.00,4.63,Fixed Price,BSE SME,First Overseas,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSB E-Trade Securities Ltd.,chittorgarh,4,chittorgarh,1.00,chittorgarh,20.0,chittorgarh,,,13.50,chittorgarh,13.50,chittorgarh,13.50,chittorgarh,13.50,chittorgarh,To part-finance incremental working capital requirements | To acquire certain fixed assets | General Corporate purpose | Issue Expenses,chittorgarh,5,chittorgarh
INE118Q01018,O.P.Chains Ltd.,SME,,539116,2015-03-30,2015-04-08,2015-04-22,11.00,2.04,Fixed Price,BSE SME,Hem Securities,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Securities Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,11.25,chittorgarh,11.81,chittorgarh,11.25,chittorgarh,11.81,chittorgarh,Working Capital Requirements | General Corporate Purpose | Issue Expenses,chittorgarh,2,chittorgarh
INE904R01027,Yogya Enterprises Ltd.,SME,,539097,2015-03-25,2015-03-30,2015-04-15,15.00,1.50,Fixed Price,BSE SME,First Overseas,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo Jatalia Securities Pvt.Ltd.,chittorgarh,1,chittorgarh,1.00,chittorgarh,50.0,chittorgarh,,,14.25,chittorgarh,14.25,chittorgarh,14.25,chittorgarh,14.25,chittorgarh,To part-finance incremental working capital requirements | Renovation & Interior of our Registered Office | General Corporate purposes | Issue Expenses,chittorgarh,2,chittorgarh
INE291R01011,Athena Constructions Ltd.,SME,,539099,2015-03-25,2015-03-30,2015-04-16,10.00,2.50,Fixed Price,BSE SME,First Overseas,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naysaa Securities Ltd.,chittorgarh,2,chittorgarh,1.00,chittorgarh,33.3,chittorgarh,,,15.71,chittorgarh,16.40,chittorgarh,15.05,chittorgarh,15.40,chittorgarh,To finance the development and construction related expenditures of our “Anand Projec | General Corporate purposes,chittorgarh,3,chittorgarh
INE541R01019,Filtra Consultants & Engineers Ltd.,SME,,539098,2015-03-24,2015-03-30,2015-04-15,42.00,3.11,Fixed Price,BSE SME,Pantomath Capital,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,42.80,chittorgarh,44.90,chittorgarh,42.80,chittorgarh,44.90,chittorgarh,Marketing activities like E-Commerce Platform and Digital Marketing by setting up of Kiosk | Working Capital Requirement | General Corporate Purpose | Issue Expenses,chittorgarh,3,chittorgarh
INE971P01012,Supreme (India) Impex Ltd.,SME,SIIL,,2015-03-16,2015-03-18,2015-03-31,60.00,7.87,Fixed Price,NSE SME,Pantomath Capital,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,7,chittorgarh,1.00,chittorgarh,12.5,chittorgarh,,,62.00,chittorgarh,62.00,chittorgarh,61.00,chittorgarh,61.30,chittorgarh,Working Capital Requirement | Issue Expense | General Corporate Purpose,chittorgarh,8,chittorgarh
INE976R01033,AGI Infra Ltd.,SME,AGIIL,539042,2015-03-10,2015-03-13,2015-03-27,54.00,14.99,Fixed Price,BSE SME,Aryaman Financial,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aryaman Capital Markets Ltd.,chittorgarh,14,chittorgarh,1.00,chittorgarh,6.7,chittorgarh,,,54.40,chittorgarh,54.75,chittorgarh,54.05,chittorgarh,54.65,chittorgarh,"Project for construction of 215 Residential Flats in our on-going Group Housing Project – “Jalandhar Heights” in Punjab (i.e. Towers J, K, L, M & N) | Repayment of Loans | Total",chittorgarh,15,chittorgarh
INE820R01017,SSPN Finance Ltd.,SME,,539026,2015-03-10,2015-03-12,2015-03-16,20.00,1.50,Fixed Price,BSE SME,First Overseas,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,1,chittorgarh,1.00,chittorgarh,50.0,chittorgarh,,,15.00,chittorgarh,15.00,chittorgarh,14.25,chittorgarh,14.40,chittorgarh,Augmenting long term working capital | Public Issue Expenses,chittorgarh,2,chittorgarh
INE369Q01017,Mahabir Metallex Ltd.,SME,,539041,2015-03-09,2015-03-12,2015-03-27,10.00,3.90,Fixed Price,BSE SME,Sarthi Capital Advisors,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,10.30,chittorgarh,10.30,chittorgarh,9.79,chittorgarh,10.10,chittorgarh,Working Capital Requirements | Issue Expenses,chittorgarh,4,chittorgarh
INE526R01028,Akme Star Housing Finance Ltd.,SME,,539017,2015-02-25,2015-03-05,2015-03-20,30.00,4.80,Fixed Price,BSE SME,Sarthi Capital Advisors,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,32.00,chittorgarh,32.00,chittorgarh,31.50,chittorgarh,31.75,chittorgarh,Augmentation of capital base and meeting fund requirements for increasing operation scales | General Corporate Purposes | Issue Expenses,chittorgarh,5,chittorgarh
INE554R01020,Karnavati Finance Ltd.,SME,,538928,2015-01-19,2015-01-21,2015-02-05,10.00,2.58,Fixed Price,BSE SME,Corporate Strategic Allianz,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NNM Securities Pvt.Ltd.,chittorgarh,2,chittorgarh,1.00,chittorgarh,33.3,chittorgarh,,,10.60,chittorgarh,10.60,chittorgarh,10.10,chittorgarh,10.10,chittorgarh,To augment the capital base and provide for the fund requirements for increasing the NBFC activities/Financing Operations. | Public Issue Expenses,chittorgarh,3,chittorgarh
INE865P01016,Raghuvansh Agrofarms Ltd.,SME,,538921,2015-01-09,2015-01-13,2015-01-28,11.00,3.96,Fixed Price,BSE SME,Sobhagya Capital,2015,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achintya Securities Pvt.Ltd.,chittorgarh,3,chittorgarh,1.00,chittorgarh,25.0,chittorgarh,,,11.55,chittorgarh,11.55,chittorgarh,11.55,chittorgarh,11.55,chittorgarh,"Construction of 1000 M3 capacity of Bio-Gas Plant for Power Generation | Investment in the Subsidiary companies, Sanjeevani Fertilizers and Chemicals Private Limited and Kanpur Organics Private Limited | To raise funds for General Corporate Purposes",chittorgarh,4,chittorgarh
INE263W01010,Maheshwari Logistics Ltd.,SME,MAHESHWARI,,2016-12-30,2017-01-06,2017-01-16,68.00,27.17,Fixed Price,NSE SME,Pantomath Capital,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,26,chittorgarh,1.00,chittorgarh,3.7,chittorgarh,,,71.80,chittorgarh,78.90,chittorgarh,70.40,chittorgarh,76.35,chittorgarh,Working Capital Requirement | General corporate purposes,chittorgarh,27,chittorgarh
INE994V01012,Prolife Industries Ltd.,SME,PROLIFE,,2016-12-27,2016-12-30,2017-01-09,38.00,4.22,Fixed Price,NSE SME,Swastika Investmart,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beeline Broking Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,42.00,chittorgarh,42.00,chittorgarh,35.50,chittorgarh,37.10,chittorgarh,Expansion of the existing manufacturing operations | General Corporate Purpose | Public Issue Expenses,chittorgarh,4,chittorgarh
INE908V01012,Libas Designs Ltd.,SME,LIBAS,,2016-12-27,2016-12-30,2017-01-09,68.00,13.60,Fixed Price,NSE SME,Sarthi Capital Advisors,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,13,chittorgarh,1.00,chittorgarh,7.1,chittorgarh,,,78.25,chittorgarh,81.50,chittorgarh,61.00,chittorgarh,71.40,chittorgarh,To set up 4 new stores | Working Capital Requirements | General Corporate Purposes | Issue Expenses,chittorgarh,14,chittorgarh
