isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,cohort,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_fin_year,pre_ipo_years_available,pat_yr3_src,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src
INE607V01028,Veeram Ornaments Ltd.,SME,,540252,2016-12-23,2016-12-28,2017-01-05,45.00,5.12,Fixed Price,BSE SME,Gretex Corporate,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beeline Broking Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,42.75,chittorgarh,46.00,chittorgarh,42.75,chittorgarh,46.00,chittorgarh,To meet additional Working Capital Requirements | To Meet the Issue Expenses,chittorgarh,5,chittorgarh
INE679V01027,Aditya Vision Ltd.,SME,AVL,540205,2016-11-28,2016-12-05,2016-12-12,15.00,5.76,Fixed Price,BSE SME,Oneview Corporate,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,5,chittorgarh,1.00,chittorgarh,16.7,chittorgarh,,,15.50,chittorgarh,15.99,chittorgarh,15.00,chittorgarh,15.27,chittorgarh,To meet the working capital requirements of the Company | General Corporate Expenses | Issue Expenses,chittorgarh,6,chittorgarh
INE982V01025,Jet Freight Logistics Ltd.,SME,JETFREIGHT,543420,2016-11-24,2016-11-28,2016-12-06,28.00,4.07,Fixed Price,NSE SME,Sarthi Capital Advisors,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,33.60,chittorgarh,33.60,chittorgarh,33.60,chittorgarh,33.60,chittorgarh,Working Capital Requirements | Issue Expenses,chittorgarh,4,chittorgarh
INE740V01019,Agro Phos India Ltd.,SME,AGROPHOS,,2016-10-27,2016-11-07,2016-11-16,22.00,12.94,Bookbuilding,NSE SME,Indian Overseas Bank,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCB Brokerage Pvt.Ltd.,chittorgarh,12,chittorgarh,1.00,chittorgarh,7.7,chittorgarh,,,26.40,chittorgarh,26.40,chittorgarh,22.10,chittorgarh,22.85,chittorgarh,"Repayment and/or pre-payment, in full or part, of borrowing availed by the Company | Working Capital Requirements | General Corporate Purposes",chittorgarh,13,chittorgarh
INE947T01022,Globe International Carriers Ltd.,SME,GICL,,2016-09-30,2016-10-07,2016-10-19,24.00,5.17,Fixed Price,NSE SME,Hem Securities,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,24.50,chittorgarh,25.20,chittorgarh,24.30,chittorgarh,24.95,chittorgarh,To Meet Working Capital Requirement,chittorgarh,5,chittorgarh
INE738V01013,Art Nirman Ltd.,SME,ARTNIRMAN,,2016-09-30,2016-10-07,2016-10-19,25.00,5.01,Fixed Price,NSE SME,Hem Securities,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,27.55,chittorgarh,30.00,chittorgarh,27.50,chittorgarh,30.00,chittorgarh,To Meet Working Capital Requirement | General Corporate Purpose,chittorgarh,5,chittorgarh
INE448V01019,Aurangabad Distillery Ltd.,SME,ALCODIS,,2016-09-30,2016-10-06,2016-10-17,35.00,7.70,Fixed Price,NSE SME,Hem Securities,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,7,chittorgarh,1.00,chittorgarh,12.5,chittorgarh,,,42.00,chittorgarh,42.00,chittorgarh,42.00,chittorgarh,42.00,chittorgarh,Repayment/prepayment of secured and unsecured loan | Public Issue Expenses | General Corporate Purposes,chittorgarh,8,chittorgarh
INE697V01011,Pansari Developers Ltd.,SME,PANSARI,,2016-09-30,2016-10-06,2016-10-18,22.00,10.19,Fixed Price,NSE SME,Hem Securities,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,10,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,22.00,chittorgarh,24.50,chittorgarh,21.00,chittorgarh,22.90,chittorgarh,To Meet Working Capital Requirement | General Corporate Expenses,chittorgarh,10,chittorgarh
INE700V01021,Shashijit Infraprojects Ltd.,SME,,540147,2016-09-30,2016-10-06,2016-10-17,15.00,3.49,Fixed Price,BSE SME,Pantomath Capital,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,15.85,chittorgarh,15.85,chittorgarh,15.10,chittorgarh,15.25,chittorgarh,Purchase of machinery and equipment | Loan Repayment | General Corporate Purposes | Working Capital Requirements,chittorgarh,3,chittorgarh
INE564V01013,Bindal Exports Ltd.,SME,,540148,2016-09-30,2016-10-06,2016-10-17,16.00,2.00,Fixed Price,BSE SME,Pantomath Capital,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,17.00,chittorgarh,17.00,chittorgarh,16.20,chittorgarh,16.20,chittorgarh,Working Capital Requirement | General corporate purposes,chittorgarh,2,chittorgarh
INE957U01011,Mewar Hi-Tech Engineering Ltd.,SME,,540150,2016-09-30,2016-10-06,2016-10-17,22.00,2.34,Fixed Price,BSE SME,Pantomath Capital,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rikhav Securities Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,26.40,chittorgarh,26.40,chittorgarh,26.40,chittorgarh,26.40,chittorgarh,General Corporate Purpose | Working Capital Requirements | Issue Expenses,chittorgarh,2,chittorgarh
INE373V01019,India Green Reality Ltd.,SME,,540152,2016-09-30,2016-10-06,2016-10-18,30.00,10.38,Fixed Price,BSE SME,Oneview Corporate,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,10,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,31.50,chittorgarh,31.50,chittorgarh,30.05,chittorgarh,30.15,chittorgarh,To Meet Working Capital Requirements | General Corporate Purpose | Issue Expenses,chittorgarh,10,chittorgarh
INE704V01015,Dhanuka Realty Ltd.,SME,DIRL,,2016-09-30,2016-10-06,2016-10-18,40.00,4.22,Fixed Price,NSE SME,Hem Securities,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,43.00,chittorgarh,43.00,chittorgarh,38.80,chittorgarh,41.25,chittorgarh,To Meet Working Capital Requirement | General corporate purposes,chittorgarh,4,chittorgarh
INE732S01012,Sakar Healthcare Ltd.,SME,SAKAR,,2016-09-30,2016-10-05,2016-10-14,50.00,14.81,Bookbuilding,NSE SME,Pantomath Capital,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCB Brokerage Pvt.Ltd.,chittorgarh,14,chittorgarh,1.00,chittorgarh,6.7,chittorgarh,,,52.80,chittorgarh,54.95,chittorgarh,51.00,chittorgarh,52.15,chittorgarh,Imported Plant and Machinery | Indigenous Plant And Machinery | Furniture / Fixture and Lab Equipment | Building Alteration | EUGMP Registration | New Product Registration | Working Capital | General Corporate Purpose,chittorgarh,15,chittorgarh
INE985P01012,Gretex Industries Ltd.,SME,GRETEX,,2016-09-30,2016-10-05,2016-10-14,20.00,3.96,Bookbuilding,NSE SME,Indian Overseas Bank,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCB Brokerage Pvt.Ltd.,chittorgarh,2,chittorgarh,2,chittorgarh,50.0,chittorgarh,,,24.00,chittorgarh,24.00,chittorgarh,22.25,chittorgarh,24.00,chittorgarh,Funding working capital requirements of the Company | General corporate purposes,chittorgarh,4,chittorgarh
INE746V01016,DRA Consultants Ltd.,SME,,540144,2016-09-30,2016-10-04,2016-10-13,10.00,2.96,Fixed Price,BSE SME,Pantomath Capital,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,12.00,chittorgarh,12.00,chittorgarh,12.00,chittorgarh,12.00,chittorgarh,Working Capital Requirement | General corporate purposes,chittorgarh,3,chittorgarh
INE942P01013,Diksat Transworld Ltd.,SME,,540151,2016-09-29,2016-10-06,2016-10-18,40.00,18.43,Bookbuilding,BSE SME,Aryaman Financial,2016,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aryaman Capital Markets Ltd.,chittorgarh,,,17,chittorgarh,94.4,chittorgarh,,,40.75,chittorgarh,41.50,chittorgarh,40.50,chittorgarh,41.00,chittorgarh,,,18,chittorgarh
