symbol,yahoo_date,nse_date,yahoo_ratio,nse_ratio,nse_action_type,date_diff_days,status
PULZ,2019-09-26,2019-09-26,2.0,2.0,bonus,0,MATCH
PULZ,2023-03-01,2023-03-01,2.0,2.0,bonus,0,MATCH
PULZ,2024-10-25,2024-10-25,2.0,2.0,bonus,0,MATCH
QUADPRO,2022-09-26,2022-10-03,2.0,2.0,bonus,7,MATCH
RADHIKAJWE,2023-05-26,2023-05-26,5.0,5.0,split,0,MATCH
RADIOCITY,2019-02-19,2019-02-20,5.0,5.0,split,1,MATCH
RADIOCITY,2020-03-12,2020-03-12,1.25,1.25,bonus,0,MATCH
RAJMET,2020-09-03,2020-09-03,2.0,2.0,bonus,0,MATCH
RAJMET,2021-09-02,2021-09-02,1.5,1.5,bonus,0,MATCH
RAJMET,2022-09-15,2022-09-15,1.5,1.5,bonus,0,MATCH
RAJMET,2022-11-30,2022-11-30,10.0,10.0,split,0,MATCH
RECLTD,2016-09-28,2016-09-28,2.0,2.0,bonus,0,MATCH
RECLTD,2022-08-17,2022-08-17,1.3333333333333333,1.333333,bonus,0,MATCH
REDINGTON,2010-08-20,2010-08-20,5.0,5.0,split,0,MATCH
REDINGTON,2021-08-18,2021-08-18,2.0,2.0,bonus,0,MATCH
REFEX,2024-03-22,2024-03-22,5.0,5.0,split,0,MATCH
RELIABLE,2019-10-03,2019-10-03,1.2,1.2,bonus,0,MATCH
REMUS,2024-06-06,2024-06-06,4.0,4.0,bonus,0,MATCH
REMUS,2025-07-04,2025-07-04,2.0,2.0,bonus,0,MATCH
RGL,2022-07-19,2022-07-19,5.0,5.0,split,0,MATCH
RITES,2019-08-08,2019-08-08,1.25,1.25,bonus,0,MATCH
RITES,2024-09-20,2024-09-20,2.0,2.0,bonus,0,MATCH
RMDRIP,2025-09-26,2025-09-26,10.0,10.0,split,0,MATCH
RMDRIP,2026-04-07,2026-04-10,1.7142857142857142,1.714286,bonus,3,MATCH
RNBDENIMS,2026-04-02,2026-04-02,2.0,2.0,split,0,MATCH
ROLEXRINGS,2025-10-17,2025-10-17,10.0,10.0,split,0,MATCH
RPEL,2024-11-29,2024-11-29,2.0,2.0,bonus,0,MATCH
RPOWER,2008-05-30,2008-05-30,1.6,1.6,bonus,0,MATCH
RPPL,2024-02-26,2024-02-26,3.0,3.0,bonus,0,MATCH
RPPL,2024-09-17,2024-09-17,2.0,2.0,split,0,MATCH
RSYSTEMS,2014-02-26,2014-02-26,10.0,10.0,split,0,MATCH
RUCHIRA,2022-10-07,2022-10-10,1.1,1.1,bonus,3,MATCH
RUSHIL,2024-08-09,2024-08-09,10.0,10.0,split,0,MATCH
SADBHAV,2010-12-07,2010-12-07,10.0,10.0,split,0,MATCH
SAGARDEEP,2020-09-30,2020-10-05,1.5,1.5,bonus,5,MATCH
SAHAJSOLAR,2025-04-02,2025-04-02,2.0,2.0,bonus,0,MATCH
SAIFL,2025-06-11,2025-06-11,5.0,5.0,bonus,0,MATCH
SAKUMA,2018-11-12,2018-11-12,10.0,10.0,split,0,MATCH
SAKUMA,2024-08-09,2024-08-09,5.0,5.0,bonus,0,MATCH
SALASAR,2021-07-13,2021-07-13,2.0,2.0,bonus,0,MATCH
SALASAR,2022-06-27,2022-06-27,10.0,10.0,split,0,MATCH
SALASAR,2024-02-01,2024-02-01,5.0,5.0,bonus,0,MATCH
SANCO,2016-08-10,2016-08-10,1.2,1.2,bonus,0,MATCH
SAPPHIRE,2024-09-05,2024-09-05,5.0,5.0,split,0,MATCH
SARVESHWAR,2023-09-05,2023-09-15,3.0,3.0,bonus,10,MATCH
SARVESHWAR,2023-09-15,2023-09-15,3.0,3.0,bonus,0,MATCH
SBC,2024-01-19,2024-01-19,1.5,1.5,bonus,0,MATCH
SBC,2025-03-04,2025-03-10,1.5,1.5,bonus,6,MATCH
SBGLP,2024-04-18,2024-04-18,10.0,10.0,split,0,MATCH
SCI,2008-10-29,2008-10-29,1.5,1.5,bonus,0,MATCH
SECL,2022-07-06,2022-07-06,1.25,1.25,bonus,0,MATCH
SECL,2023-05-03,2023-05-03,10.0,10.0,split,0,MATCH
SECURCRED,2022-05-18,2022-05-18,2.1,2.1,bonus,0,MATCH
SECURCRED,2022-12-26,2023-01-04,4.0,4.0,bonus,9,MATCH
SECURCRED,2023-01-04,2023-01-04,4.0,4.0,bonus,0,MATCH
SENCO,2025-01-31,2025-01-31,2.0,2.0,split,0,MATCH
SERVOTECH,2023-02-03,2023-02-03,5.0,5.0,split,0,MATCH
SERVOTECH,2023-07-28,2023-07-28,2.0,2.0,split,0,MATCH
SETUINFRA,2012-12-13,2012-12-13,10.0,10.0,split,0,MATCH
SFL,2022-12-21,2022-12-21,2.0,2.0,bonus,0,MATCH
SHAH,2016-10-13,2016-10-13,10.0,10.0,split,0,MATCH
SHAIVAL,2017-10-17,2017-10-17,6.0,6.0,bonus,0,MATCH
SHANTI,2019-10-22,2019-10-22,1.5,1.5,bonus,0,MATCH
SHAREINDIA,2024-06-27,2024-06-27,5.0,5.0,split,0,MATCH
SHEKHAWATI,2013-04-10,2013-04-10,10.0,10.0,split,0,MATCH
SHILPI,2014-09-16,2014-09-16,2.0,2.0,bonus,0,MATCH
SHRADHA,2020-09-16,2020-09-16,1.05,1.05,bonus,0,MATCH
SHRADHA,2023-01-20,2023-01-20,2.0,2.0,split,0,MATCH
SHRADHA,2024-12-10,2024-12-10,2.5,2.5,split,0,MATCH
SHRENIK,2018-07-09,2018-07-09,5.0,5.0,split,0,MATCH
SIDDHIKA,2024-07-19,2024-07-19,2.0,2.0,bonus,0,MATCH
SIGACHI,2023-10-09,2023-10-09,10.0,10.0,split,0,MATCH
SIGMA,2022-10-07,2022-10-07,2.5,2.5,bonus,0,MATCH
SIGMA,2025-10-06,2025-10-06,10.0,10.0,split,0,MATCH
SIKKO,2021-03-18,2021-03-18,2.0,2.0,bonus,0,MATCH
SIKKO,2022-10-25,2022-10-28,1.5,1.5,bonus,3,MATCH
SIKKO,2025-11-27,2025-11-27,10.0,10.0,split,0,MATCH
SIKKO,2025-12-08,2025-12-08,2.0,2.0,bonus,0,MATCH
SILGO,2021-01-07,2021-01-07,1.25,1.25,bonus,0,MATCH
SILLYMONKS,2020-02-11,2020-02-11,2.2,2.2,bonus,0,MATCH
SILVERTUC,2026-03-06,2026-03-06,2.0,2.0,bonus,0,MATCH
SIRCA,2019-07-08,2019-07-09,1.5,1.5,bonus,1,MATCH
SIRCA,2023-05-11,2023-05-11,2.0,2.0,bonus,0,MATCH
SIS,2020-01-15,2020-01-15,2.0,2.0,split,0,MATCH
SKYGOLD,2024-12-16,2024-12-16,10.0,10.0,bonus,0,MATCH
SMSPHARMA,2015-12-17,2015-12-17,10.0,10.0,split,0,MATCH
SMVD,2022-10-11,2022-10-11,2.02,2.02,bonus,0,MATCH
SOLEX,2024-09-13,2024-09-20,1.25,1.25,bonus,7,MATCH
SONAMLTD,2022-07-14,2022-07-14,2.0,2.0,bonus,0,MATCH
SONAMLTD,2024-05-10,2024-05-10,2.0,2.0,split,0,MATCH
SOUTHBANK,2008-10-16,2008-10-16,1.25,1.25,bonus,0,MATCH
SOUTHBANK,2010-09-23,2010-09-23,10.0,10.0,split,0,MATCH
SOUTHWEST,2019-04-04,2019-04-04,2.0,2.0,bonus,0,MATCH
SRPL,2023-05-19,2023-05-19,10.0,10.0,split,0,MATCH
SRSLTD,2015-06-25,2015-06-25,2.0,2.0,bonus,0,MATCH
SUMIT,2019-07-11,2019-07-16,2.0,2.0,bonus,5,MATCH
SUPREMEENG,2022-03-03,2022-03-03,10.0,10.0,split,0,MATCH
SUULD,2022-03-30,2022-03-30,2.0,2.0,bonus,0,MATCH
SVLL,2022-10-11,2022-10-11,1.5,1.5,bonus,0,MATCH
SWARAJ,2023-05-19,2023-05-19,2.0,2.0,bonus,0,MATCH
SYNGENE,2019-06-11,2019-06-11,2.0,2.0,bonus,0,MATCH
TAC,2025-10-15,2025-10-15,2.0,2.0,bonus,0,MATCH
TAKE,2008-09-18,2008-09-18,10.0,10.0,split,0,MATCH
TANLA,2008-05-02,2008-05-02,2.0,2.0,split,0,MATCH
TARACHAND,2024-12-05,2024-12-05,5.0,5.0,split,0,MATCH
TARIL,2013-06-13,2013-06-13,1.1111111111111112,1.111111,bonus,0,MATCH
TARIL,2017-09-28,2017-09-28,10.0,10.0,split,0,MATCH
TARIL,2025-02-14,2025-02-14,2.0,2.0,bonus,0,MATCH
TATASTEEL,2022-07-28,2022-07-28,10.0,10.0,split,0,MATCH
TDPOWERSYS,2022-10-31,2022-10-31,5.0,5.0,split,0,MATCH
TEMBO,2021-03-03,2021-03-03,2.0,2.0,bonus,0,MATCH
THANGAMAYL,2023-07-17,2023-07-17,2.0,2.0,bonus,0,MATCH
THEJO,2021-10-12,2021-10-12,3.0,3.0,bonus,0,MATCH
THYROCARE,2025-11-28,2025-11-28,3.0,3.0,bonus,0,MATCH
TIMESCAN,2024-05-17,2024-05-17,2.0,2.0,bonus,0,MATCH
TIMETECHNO,2008-10-29,2008-10-29,10.0,10.0,split,0,MATCH
TIMETECHNO,2025-09-15,2025-09-23,2.0,2.0,bonus,8,MATCH
TIMETECHNO,2025-09-23,2025-09-23,2.0,2.0,bonus,0,MATCH
TITAGARH,2015-04-23,2015-04-23,5.0,5.0,split,0,MATCH
TULSI,2011-01-07,2011-01-07,1.1,1.1,bonus,0,MATCH
UEL,2024-09-20,2024-09-20,1.25,1.25,bonus,0,MATCH
UEL,2025-05-30,2025-05-30,1.68,1.68,bonus,0,MATCH
UEL,2025-10-10,2025-10-10,3.0,3.0,bonus,0,MATCH
UNITEDPOLY,2021-02-17,2021-02-17,3.0,3.0,bonus,0,MATCH
UNITEDPOLY,2025-05-02,2025-05-02,10.0,10.0,split,0,MATCH
UNITY,2010-04-07,2010-04-07,5.0,5.0,split,0,MATCH
UNIVASTU,2019-12-19,2019-12-19,2.0,2.0,bonus,0,MATCH
UNIVASTU,2025-10-13,2025-10-13,3.0,3.0,bonus,0,MATCH
URAVIDEF,2022-07-11,2022-07-11,2.0,2.0,bonus,0,MATCH
URBAN,2025-02-07,2025-02-07,2.0,2.0,bonus,0,MATCH
USASEEDS,2025-10-10,2025-10-10,1.4285714285714286,1.428571,bonus,0,MATCH
V2RETAIL,2026-03-25,2026-03-25,10.0,10.0,split,0,MATCH
VAISHALI,2019-10-17,2019-10-17,1.6,1.6,bonus,0,MATCH
VAISHALI,2019-10-25,2019-10-17,1.6,1.6,bonus,8,MATCH
VALIANTORG,2020-12-24,2020-12-24,2.0,2.0,bonus,0,MATCH
VBL,2019-07-25,2019-07-25,1.5,1.5,bonus,0,MATCH
VBL,2021-06-10,2021-06-10,1.5,1.5,bonus,0,MATCH
VBL,2022-06-06,2022-06-06,1.5,1.5,bonus,0,MATCH
VBL,2023-06-15,2023-06-15,2.0,2.0,split,0,MATCH
VBL,2024-09-12,2024-09-12,2.5,2.5,split,0,MATCH
VCL,2023-02-15,2023-02-15,2.0,2.0,split,0,MATCH
VERTOZ,2020-01-02,2020-01-02,2.0,2.0,bonus,0,MATCH
VERTOZ,2024-07-05,2024-07-05,2.0,2.0,bonus,0,MATCH
VGUARD,2016-08-30,2016-08-30,10.0,10.0,split,0,MATCH
VGUARD,2017-03-15,2017-03-15,1.4,1.4,bonus,0,MATCH
VINNY,2022-05-26,2022-05-26,1.1,1.1,bonus,0,MATCH
VINNY,2023-02-24,2023-02-24,2.3,2.3,bonus,0,MATCH
VISHWARAJ,2021-10-21,2021-10-21,5.0,5.0,split,0,MATCH
VIVIANA,2025-11-19,2025-11-19,1.6,1.6,bonus,0,MATCH
VKSPL,2013-02-27,2013-02-27,10.0,10.0,split,0,MATCH
VMART,2025-06-23,2025-06-23,4.0,4.0,bonus,0,MATCH
VRLLOG,2025-08-14,2025-08-14,2.0,2.0,bonus,0,MATCH
WABAG,2011-08-16,2011-08-16,2.5,2.5,split,0,MATCH
WABAG,2015-03-26,2015-03-26,2.0,2.0,bonus,0,MATCH
WALPAR,2024-08-14,2024-08-14,2.0,2.0,bonus,0,MATCH
WEALTH,2020-09-25,2020-09-25,1.6666666666666667,1.666667,bonus,0,MATCH
WEL,2021-10-06,2021-10-06,1.6,1.6,bonus,0,MATCH
WEL,2024-11-12,2024-11-12,10.0,10.0,split,0,MATCH
WEWIN,2021-03-30,2021-03-30,3.0,3.0,bonus,0,MATCH
YESBANK,2017-09-21,2017-09-21,5.0,5.0,split,0,MATCH
ZENITHSTL,2010-08-11,2010-08-11,1.2,1.2,bonus,0,MATCH
ZODIAC,2020-10-08,2020-10-08,2.0,2.0,bonus,0,MATCH
ZOTA,2019-07-25,2019-07-25,1.4,1.4,bonus,0,MATCH
