symbol,yahoo_date,nse_date,yahoo_ratio,nse_ratio,nse_action_type,date_diff_days,status
KKVAPOW,2025-09-26,2025-09-26,1.1,1.1,bonus,0,MATCH
KMEW,2025-12-22,2025-12-22,2.0,2.0,split,0,MATCH
KNRCON,2021-02-03,2021-02-03,2.0,2.0,bonus,0,MATCH
KODYTECH,2024-12-06,2024-12-06,2.0,2.0,bonus,0,MATCH
KPIGREEN,2023-01-18,2023-01-18,2.0,2.0,bonus,0,MATCH
KPIGREEN,2024-02-15,2024-02-15,1.5,1.5,bonus,0,MATCH
KPIGREEN,2024-07-18,2024-07-18,2.0,2.0,split,0,MATCH
KPIGREEN,2025-01-03,2025-01-03,1.5,1.5,bonus,0,MATCH
KPRMILL,2021-09-24,2021-09-24,5.0,5.0,split,0,MATCH
KRISHANA,2023-10-25,2023-10-25,2.0,2.0,bonus,0,MATCH
KRITIKA,2022-08-29,2022-08-30,5.0,5.0,split,1,MATCH
KRITIKA,2023-12-19,2023-12-19,3.0,3.0,bonus,0,MATCH
KSCL,2014-01-27,2014-01-27,5.0,5.0,split,0,MATCH
KSERASERA,2015-03-30,2015-03-30,10.0,10.0,split,0,MATCH
KSHITIJPOL,2021-08-13,2021-08-13,1.1666666666666667,1.166667,bonus,0,MATCH
KSHITIJPOL,2022-10-27,2022-10-27,5.0,5.0,split,0,MATCH
KSOLVES,2021-06-04,2021-06-04,4.0,4.0,bonus,0,MATCH
KSOLVES,2021-09-06,2021-09-06,2.0,2.0,bonus,0,MATCH
KSOLVES,2025-02-06,2025-02-06,2.0,2.0,split,0,MATCH
LAL,2024-03-28,2024-03-28,1.5454545454545454,1.545455,bonus,0,MATCH
LALPATHLAB,2025-12-19,2025-12-19,2.0,2.0,bonus,0,MATCH
LATTEYS,2022-10-12,2022-10-12,2.5,2.5,bonus,0,MATCH
LATTEYS,2023-02-10,2023-02-10,5.0,5.0,split,0,MATCH
LAURUSLABS,2020-09-29,2020-09-29,5.0,5.0,split,0,MATCH
LEMERITE,2026-05-29,2026-05-29,5.0,5.0,split,0,MATCH
LGHL,2025-10-10,2025-10-10,2.4,2.4,bonus,0,MATCH
LIBAS,2018-09-21,2018-09-21,1.5,1.5,bonus,0,MATCH
LIBAS,2021-04-06,2021-04-06,1.2,1.2,bonus,0,MATCH
LIBAS,2021-09-21,2021-09-21,1.2,1.2,bonus,0,MATCH
LICI,2026-05-29,2026-05-29,2.0,2.0,bonus,0,MATCH
LIKHITHA,2022-12-01,2022-12-02,2.0,2.0,split,1,MATCH
LODHA,2023-05-26,2023-05-31,2.0,2.0,bonus,5,MATCH
LUMAXTECH,2018-06-07,2018-06-07,5.0,5.0,split,0,MATCH
M&MFIN,2013-02-15,2013-02-15,5.0,5.0,split,0,MATCH
MACPOWER,2020-06-30,2020-06-30,1.02,1.02,bonus,0,MATCH
MAHESHWARI,2020-10-13,2020-10-13,2.0,2.0,bonus,0,MATCH
MANINFRA,2021-11-17,2021-11-17,1.5,1.5,bonus,0,MATCH
MANORAMA,2024-03-07,2024-03-07,5.0,5.0,split,0,MATCH
MANPASAND,2017-09-27,2017-09-27,2.0,2.0,bonus,0,MATCH
MARINE,2021-02-18,2021-02-18,5.0,5.0,split,0,MATCH
MASFIN,2024-02-22,2024-02-22,3.0,3.0,bonus,0,MATCH
MAZDOCK,2024-12-27,2024-12-27,2.0,2.0,split,0,MATCH
MBAPL,2022-10-18,2022-10-18,2.0,2.0,bonus,0,MATCH
MBAPL,2023-10-20,2023-10-20,2.0,2.0,bonus,0,MATCH
MBLINFRA,2015-07-28,2015-07-28,2.0,2.0,bonus,0,MATCH
MCL,2018-09-05,2018-09-05,3.0,3.0,bonus,0,MATCH
MCL,2019-05-02,2019-05-02,2.0,2.0,split,0,MATCH
MCL,2019-10-22,2019-10-22,2.0,2.0,bonus,0,MATCH
MCX,2026-01-02,2026-01-02,5.0,5.0,split,0,MATCH
MEDICO,2023-03-16,2023-03-16,5.0,5.0,split,0,MATCH
METROPOLIS,2026-03-20,2026-03-20,4.0,4.0,bonus,0,MATCH
MGEL,2020-08-31,2020-08-31,1.5,1.5,bonus,0,MATCH
MGEL,2022-08-18,2022-08-18,5.0,5.0,split,0,MATCH
MGEL,2025-03-04,2025-03-04,2.0,2.0,split,0,MATCH
MHRIL,2017-07-10,2017-07-10,1.5,1.5,bonus,0,MATCH
MHRIL,2021-09-08,2021-09-08,1.5,1.5,bonus,0,MATCH
MICEL,2008-06-27,2008-06-27,5.0,5.0,split,0,MATCH
MILTON,2019-10-14,2019-10-14,1.1,1.1,bonus,0,MATCH
MITTAL,2019-06-20,2019-06-20,1.6666666666666667,1.666667,bonus,0,MATCH
MITTAL,2021-08-31,2021-08-31,1.1,1.1,bonus,0,MATCH
MITTAL,2023-11-01,2023-11-01,10.0,10.0,split,0,MATCH
MKPL,2023-02-03,2023-02-03,3.0,3.0,bonus,0,MATCH
MKPL,2023-11-10,2023-11-10,10.0,10.0,split,0,MATCH
MKPL,2024-03-15,2024-03-15,3.0,3.0,bonus,0,MATCH
MMP,2019-12-30,2019-12-30,1.5,1.5,bonus,0,MATCH
MOIL,2017-09-27,2017-09-27,2.0,2.0,bonus,0,MATCH
MOKSH,2021-07-14,2021-07-14,5.0,5.0,split,0,MATCH
MONEYBOXX,2025-12-15,2025-12-15,2.0,2.0,bonus,0,MATCH
MOS,2025-08-08,2025-08-08,5.0,5.0,split,0,MATCH
MOS,2025-10-14,2025-10-14,2.0,2.0,bonus,0,MATCH
MOTILALOFS,2008-07-25,2008-07-25,5.0,5.0,split,0,MATCH
MOTILALOFS,2024-06-10,2024-06-10,4.0,4.0,bonus,0,MATCH
MOTISONS,2024-11-08,2024-11-08,10.0,10.0,split,0,MATCH
MOXSH,2024-10-09,2024-10-09,4.0,4.0,bonus,0,MATCH
NARMADA,2020-02-25,2020-02-25,1.8,1.8,bonus,0,MATCH
NAUKRI,2010-09-27,2010-09-27,2.0,2.0,bonus,0,MATCH
NAUKRI,2012-06-22,2012-06-22,2.0,2.0,bonus,0,MATCH
NAUKRI,2025-05-07,2025-05-07,5.0,5.0,split,0,MATCH
NAZARA,2022-06-24,2022-06-24,2.0,2.0,bonus,0,MATCH
NAZARA,2025-09-26,2025-09-26,2.0,2.0,bonus,0,MATCH
NBCC,2016-06-02,2016-06-02,5.0,5.0,split,0,MATCH
NBCC,2017-02-17,2017-02-17,1.5,1.5,bonus,0,MATCH
NBCC,2018-04-25,2018-04-25,2.0,2.0,split,0,MATCH
NBCC,2024-10-07,2024-10-07,1.5,1.5,bonus,0,MATCH
NELCAST,2011-09-06,2011-09-06,5.0,5.0,split,0,MATCH
NEWGEN,2024-01-12,2024-01-12,2.0,2.0,bonus,0,MATCH
NIACL,2018-06-27,2018-06-27,2.0,2.0,bonus,0,MATCH
NINSYS,2023-08-03,2023-08-03,1.8,1.8,bonus,0,MATCH
NITINFIRE,2010-11-04,2010-11-04,5.0,5.0,split,0,MATCH
NITINFIRE,2011-09-22,2011-09-22,3.5,3.5,bonus,0,MATCH
NITINFIRE,2014-11-13,2014-11-13,1.3333333333333333,1.333333,bonus,0,MATCH
NITIRAJ,2019-09-30,2019-09-30,1.25,1.25,bonus,0,MATCH
NMDC,2008-04-10,2008-04-10,10.0,10.0,split,0,MATCH
NMDC,2008-05-21,2008-05-21,3.0,3.0,bonus,0,MATCH
NMDC,2024-12-27,2024-12-27,3.0,3.0,bonus,0,MATCH
NPST,2024-02-02,2024-02-02,3.0,3.0,bonus,0,MATCH
NRL,2022-02-22,2022-02-22,1.1,1.1,bonus,0,MATCH
NRL,2022-12-23,2022-12-23,2.0,2.0,bonus,0,MATCH
NRL,2024-03-20,2024-03-20,1.5,1.5,bonus,0,MATCH
NTPC,2019-03-19,2019-03-19,1.2,1.2,bonus,0,MATCH
NUTEK,2009-12-23,2009-12-23,2.0,2.0,split,0,MATCH
NYKAA,2022-11-10,2022-11-10,6.0,6.0,bonus,0,MATCH
OIL,2012-03-29,2012-03-29,2.5,2.5,bonus,0,MATCH
OIL,2017-01-12,2017-01-12,1.3333333333333333,1.333333,bonus,0,MATCH
OIL,2018-03-27,2018-03-27,1.5,1.5,bonus,0,MATCH
OIL,2024-07-02,2024-07-02,1.5,1.5,bonus,0,MATCH
OMAXE,2013-11-11,2013-11-11,1.2564102564102564,1.25641,bonus,0,MATCH
OMFURN,2023-10-06,2023-10-06,1.2,1.2,bonus,0,MATCH
ONEPOINT,2019-04-24,2019-04-24,1.5,1.5,bonus,0,MATCH
ONMOBILE,2011-05-03,2011-05-03,2.0,2.0,bonus,0,MATCH
OPTOCIRCUI,2006-10-30,2006-10-30,2.0,2.0,bonus,0,MATCH
OPTOCIRCUI,2007-10-25,2007-10-25,1.5,1.5,bonus,0,MATCH
OPTOCIRCUI,2008-11-03,2008-11-03,1.7,1.7,bonus,0,MATCH
OPTOCIRCUI,2012-03-29,2012-03-29,1.3,1.3,bonus,0,MATCH
ORIENTTECH,2026-01-05,2026-01-05,1.1,1.1,bonus,0,MATCH
OSIAHYPER,2022-06-20,2022-06-20,1.6,1.6,bonus,0,MATCH
OSIAHYPER,2023-03-13,2023-03-13,10.0,10.0,split,0,MATCH
OSWALSEEDS,2023-08-18,2023-08-18,5.0,5.0,split,0,MATCH
OSWALSEEDS,2024-02-02,2024-02-02,1.2,1.2,bonus,0,MATCH
