symbol,original_symbol,yahoo_date,yahoo_ratio,is_bse_code,status
540693,540693.BO,2024-12-17,10.0,True,YAHOO_ONLY
540694,540694.BO,2021-09-22,2.0,True,YAHOO_ONLY
540694,540694.BO,2022-07-13,1.25,True,YAHOO_ONLY
540697,540697.BO,2019-09-19,1.4,True,YAHOO_ONLY
540726,540726.BO,2020-08-11,2.4,True,YAHOO_ONLY
540727,540727.BO,2020-01-02,2.0,True,YAHOO_ONLY
540730,540730.BO,2018-09-18,2.0,True,YAHOO_ONLY
540730,540730.BO,2025-03-13,10.0,True,YAHOO_ONLY
540737,540737.BO,2020-10-06,1.1153846153846154,True,YAHOO_ONLY
540737,540737.BO,2021-11-01,1.2,True,YAHOO_ONLY
540738,540738.BO,2019-10-14,3.0,True,YAHOO_ONLY
540738,540738.BO,2023-02-15,5.0,True,YAHOO_ONLY
540738,540738.BO,2024-02-08,1.3333333333333333,True,YAHOO_ONLY
540756,540756.BO,2022-10-04,2.0,True,YAHOO_ONLY
540756,540756.BO,2022-10-12,2.0,True,YAHOO_ONLY
540786,540786.BO,2021-06-08,2.0,True,YAHOO_ONLY
540786,540786.BO,2021-07-08,2.0,True,YAHOO_ONLY
540786,540786.BO,2021-08-17,2.0,True,YAHOO_ONLY
540936,540936.BO,2020-09-11,1.8333333333333333,True,YAHOO_ONLY
540953,540953.BO,2020-01-29,2.15,True,YAHOO_ONLY
540953,540953.BO,2023-05-16,1.25,True,YAHOO_ONLY
540953,540953.BO,2023-05-19,10.0,True,YAHOO_ONLY
540956,540956.BO,2018-10-08,2.0,True,YAHOO_ONLY
540956,540956.BO,2022-02-15,10.0,True,YAHOO_ONLY
541083,541083.BO,2019-03-28,1.5,True,YAHOO_ONLY
541338,541338.BO,2022-10-19,1.6666666666666667,True,YAHOO_ONLY
541444,541444.BO,2020-03-26,1.36,True,YAHOO_ONLY
541445,541445.BO,2021-04-27,2.0,True,YAHOO_ONLY
541601,541601.BO,2021-12-23,2.25,True,YAHOO_ONLY
541601,541601.BO,2022-07-21,3.0,True,YAHOO_ONLY
541601,541601.BO,2023-01-10,2.0,True,YAHOO_ONLY
541634,541634.BO,2021-06-03,1.2,True,YAHOO_ONLY
541701,541701.BO,2019-09-26,2.0,True,YAHOO_ONLY
541778,541778.BO,2022-03-08,1.75,True,YAHOO_ONLY
541865,541865.BO,2020-07-22,1.75,True,YAHOO_ONLY
541865,541865.BO,2022-01-06,1.7,True,YAHOO_ONLY
541865,541865.BO,2022-01-14,1.7,True,YAHOO_ONLY
541945,541945.BO,2025-04-02,2.0,True,YAHOO_ONLY
541945,541945.BO,2025-04-21,2.0,True,YAHOO_ONLY
542012,542012.BO,2021-08-17,1.15,True,YAHOO_ONLY
542012,542012.BO,2025-12-31,4.0,True,YAHOO_ONLY
542012,542012.BO,2026-01-08,10.0,True,YAHOO_ONLY
542013,542013.BO,2022-05-13,1.3333333333333333,True,YAHOO_ONLY
542019,542019.BO,2020-10-08,2.0,True,YAHOO_ONLY
542019,542019.BO,2022-09-21,1.1,True,YAHOO_ONLY
542025,542025.BO,2021-08-12,10.0,True,YAHOO_ONLY
542034,542034.BO,2020-10-08,1.5,True,YAHOO_ONLY
542046,542046.BO,2020-10-08,1.26,True,YAHOO_ONLY
542046,542046.BO,2024-10-31,10.0,True,YAHOO_ONLY
542046,542046.BO,2024-11-14,10.0,True,YAHOO_ONLY
542046,542046.BO,2024-11-29,10.0,True,YAHOO_ONLY
542145,542145.BO,2025-03-21,2.0,True,YAHOO_ONLY
542446,542446.BO,2019-10-10,1.04,True,YAHOO_ONLY
542446,542446.BO,2020-07-30,1.0232558139534884,True,YAHOO_ONLY
542446,542446.BO,2021-07-08,1.135135135135135,True,YAHOO_ONLY
542446,542446.BO,2022-10-03,1.173913043478261,True,YAHOO_ONLY
542446,542446.BO,2023-10-10,1.18,True,YAHOO_ONLY
542446,542446.BO,2025-07-28,1.05,True,YAHOO_ONLY
542446,542446.BO,2026-01-23,1.125,True,YAHOO_ONLY
542459,542459.BO,2021-06-10,1.2,True,YAHOO_ONLY
542579,542579.BO,2023-07-18,10.0,True,YAHOO_ONLY
542592,542592.BO,2024-10-18,10.0,True,YAHOO_ONLY
542654,542654.BO,2023-07-26,8.0,True,YAHOO_ONLY
542666,542666.BO,2021-09-29,2.0,True,YAHOO_ONLY
542666,542666.BO,2022-09-16,1.5,True,YAHOO_ONLY
542667,542667.BO,2020-07-23,2.0,True,YAHOO_ONLY
542667,542667.BO,2022-04-12,3.0,True,YAHOO_ONLY
542668,542668.BO,2023-02-10,2.0,True,YAHOO_ONLY
542668,542668.BO,2024-12-26,2.0,True,YAHOO_ONLY
542678,542678.BO,2026-01-16,1.0686,True,YAHOO_ONLY
542678,542678.BO,2026-01-21,0.0686,True,YAHOO_ONLY
542694,542694.BO,2022-02-03,3.05,True,YAHOO_ONLY
542724,542724.BO,2021-08-09,2.0,True,YAHOO_ONLY
542724,542724.BO,2021-12-16,5.0,True,YAHOO_ONLY
542724,542724.BO,2023-10-05,2.0,True,YAHOO_ONLY
542724,542724.BO,2025-06-11,2.0,True,YAHOO_ONLY
