scrip_id,Scrip_Name,ISIN_NUMBER,GROUP
ISIFHLSDG,iSIF Hybrid Long-Short Fund - Direct Plan - Growth,INF109K30026,B
PANHR,PAN HR Solution Ltd,INE1N9E01015,MT
AYE,Aye Finance Ltd,INE501X01029,B
FRACTAL,Fractal Analytics Ltd,INE212S01015,B
HEALTHCARE,Mirae Asset Nifty 500 Healthcare ETF,INF769K01QA6,B
DCMSIL,DCM Shriram International Ltd,INE0OU201013,T
DSFCL,DCM Shriram Fine Chemicals Ltd,INE0OFM01015,B
INFRA,Mirae Asset Nifty India Infrastructure & LogisticsETF,INF769K01QB4,B
DEFENCE,Mirae Asset BSE India Defence ETF,INF769K01QC2,B
ABSLMSCIN,Aditya Birla Sun Life MSCI India ETF,INF209KC1662,B
FIL,Fractal Industries Ltd,INE1W3Q01011,M
YASHHTEJ,Yashhtej Industries (India) Ltd,INE1O6P01016,MT
GAUDIUMIVF,Gaudium IVF and Women Health Ltd,INE0P8B01020,T
ACCORDTS,Accord Transformer & Switchgear Ltd,INE132201018,M
KIAASA,Kiaasa Retail Ltd,INE1C3F01018,M
SRTL,Shree Ram Twistex Ltd,INE19GK01015,B
CLEANMAX,Clean Max Enviro Energy Solutions Ltd,INE647U01026,B
PNGSREVA,PNGS Reva Diamond Jewellery Ltd,INE1RDG01013,B
ABSL10BANK,Aditya Birla Sun Life BSE Top 10 Banks ETF,INF209KC1670,B
OMNI,Omnitech Engineering Ltd,INE0UH301010,B
GROWWHOSPI,Groww BSE Hospitals ETF,INF666M01OD9,B
SBIMIDMOM,SBI Nifty Midcap 150 Momentum 50 ETF,INF200KB1AJ0,B
